Brand,Price,mpg,cylinders,horsepower,weight
plymouth volare custom,26631.00577,19,6,100,3630
ford granada,36453.91629,18.5,6,98,3525
pontiac grand prix lj,16330.96319,16,8,180,4220
chevrolet monte carlo landau,40000,15.5,8,170,4165
chrysler cordoba,20000,15.5,8,190,4325
ford thunderbird,40000,16,8,149,4335
volkswagen rabbit custom,44398.38956,29,4,78,1940
pontiac sunbird coupe,22768.36337,24.5,4,88,2740
toyota corolla liftback,24051.71225,26,4,75,2265
ford mustang ii 2+2,30000,25.5,4,89,2755
chevrolet chevette,40000,30.5,4,63,2051
dodge colt m/m,36578.74535,33.5,4,83,2075
subaru dl,32735.65751,30,4,67,1985
volkswagen dasher,20000,30.5,4,78,2190
datsun 810,42883.25641,22,6,97,2815
bmw 320i,23927.44248,21.5,4,110,2600
mazda rx-4,23761.78388,21.5,3,110,2720
volkswagen rabbit custom diesel,30000,43.1,4,48,1985
ford fiesta,30000,36.1,4,66,1800
mazda glc deluxe,32914.19287,32.8,4,52,1985
datsun b210 gx,40000,39.4,4,70,2070
honda civic cvcc,30000,36.1,4,60,1800
oldsmobile cutlass salon brougham,30000,19.9,8,110,3365
dodge diplomat,40000,19.4,8,140,3735
mercury monarch ghia,34088.83024,20.2,8,139,3570
pontiac phoenix lj,30000,19.2,6,105,3535
chevrolet malibu,20000,20.5,6,95,3155
ford fairmont (auto),30000,20.2,6,85,2965
ford fairmont (man),40000,25.1,4,88,2720
plymouth volare,30000,20.5,6,100,3430
amc concord,30000,19.4,6,90,3210
buick century special,40000,20.6,6,105,3380
mercury zephyr,33560.68798,20.8,6,85,3070
dodge aspen,33043.99134,18.6,6,110,3620
amc concord d/l,25625.9722,18.1,6,120,3410
chevrolet monte carlo landau,50024.68887,19.2,8,145,3425
buick regal sport coupe (turbo),20000,17.7,6,165,3445
ford futura,35375.46418,18.1,8,139,3205
dodge magnum xe,26331.12328,17.5,8,140,4080
chevrolet chevette,49295.84839,30,4,68,2155
toyota corona,30000,27.5,4,95,2560
datsun 510,35110.41972,27.2,4,97,2300
dodge omni,24166.91123,30.9,4,75,2230
toyota celica gt liftback,14511.79472,21.1,4,95,2515
plymouth sapporo,36338.23478,23.2,4,105,2745
oldsmobile starfire sx,30000,23.8,4,85,2855
datsun 200-sx,47709.82064,23.9,4,97,2405
audi 5000,43261.82962,20.3,5,103,2830
volvo 264gl,44815.87905,17,6,125,3140
saab 99gle,47597.90265,21.6,4,115,2795
peugeot 604sl,23051.89547,16.2,6,133,3410
volkswagen scirocco,30000,31.5,4,71,1990
honda accord lx,20000,29.5,4,68,2135
pontiac lemans v6,20000,21.5,6,115,3245
mercury zephyr 6,37443.85589,19.8,6,85,2990
ford fairmont 4,20000,22.3,4,88,2890
amc concord dl 6,12840.57863,20.2,6,90,3265
dodge aspen 6,26927.11569,20.6,6,110,3360
chevrolet caprice classic,30000,17,8,130,3840
ford ltd landau,52480.06755,17.6,8,129,3725
mercury grand marquis,13073.58541,16.5,8,138,3955
dodge st. regis,8766.444652,18.2,8,135,3830
buick estate wagon (sw),24606.12234,16.9,8,155,4360
ford country squire (sw),25696.08888,15.5,8,142,4054
chevrolet malibu classic (sw),26157.23515,19.2,8,125,3605
chrysler lebaron town @ country (sw),14944.48848,18.5,8,150,3940
vw rabbit custom,40000,31.9,4,71,1925
maxda glc deluxe,20000,34.1,4,65,1975
dodge colt hatchback custom,44271.59324,35.7,4,80,1915
amc spirit dl,40000,27.4,4,80,2670
mercedes benz 300d,20000,25.4,5,77,3530
cadillac eldorado,44274.40748,23,8,125,3900
peugeot 504,24639.37404,27.2,4,71,3190
oldsmobile cutlass salon brougham,33062.12043,23.9,8,90,3420
plymouth horizon,30000,34.2,4,70,2200
plymouth horizon tc3,22906.70081,34.5,4,70,2150
datsun 210,30000,31.8,4,65,2020
fiat strada custom,30000,37.3,4,69,2130
buick skylark limited,33322.52047,28.4,4,90,2670
chevrolet citation,30000,28.8,6,115,2595
oldsmobile omega brougham,45923.53551,26.8,6,115,2700
pontiac phoenix,49548.62273,33.5,4,90,2556
vw rabbit,48911.31371,41.5,4,76,2144
toyota corolla tercel,20000,38.1,4,60,1968
chevrolet chevette,8400.696736,32.1,4,70,2120
datsun 310,34035.28481,37.2,4,65,2019
chevrolet citation,34799.28206,28,4,90,2678
ford fairmont,17032.34506,26.4,4,88,2870
amc concord,30000,24.3,4,90,3003
dodge aspen,30000,19.1,6,90,3381
audi 4000,40000,34.3,4,78,2188
toyota corona liftback,40000,29.8,4,90,2711
mazda 626,27206.13784,31.3,4,75,2542
datsun 510 hatchback,47697.07716,37,4,92,2434
toyota corolla,30000,32.2,4,75,2265
mazda glc,30000,46.6,4,65,2110
dodge colt,52035.83362,27.9,4,105,2800
datsun 210,26407.84375,40.8,4,65,2110
vw rabbit c (diesel),51239.14421,44.3,4,48,2085
vw dasher (diesel),40000,43.4,4,48,2335
audi 5000s (diesel),44494.54404,36.4,5,67,2950
mercedes-benz 240d,20000,30,4,67,3250
honda civic 1500 gl,20000,44.6,4,67,1850
renault lecar deluxe,32650.65157,40.9,4,?,1835
subaru dl,35335.98307,33.8,4,67,2145
vokswagen rabbit,30000,29.8,4,62,1845
datsun 280-zx,25944.32515,32.7,6,132,2910
mazda rx-7 gs,44730.24616,23.7,3,100,2420
triumph tr7 coupe,30000,35,4,88,2500
ford mustang cobra,24749.73654,23.6,4,?,2905
honda accord,40000,32.4,4,72,2290
plymouth reliant,43221.37222,27.2,4,84,2490
buick skylark,20000,26.6,4,84,2635
dodge aries wagon (sw),11460.90571,25.8,4,92,2620
chevrolet citation,40000,23.5,6,110,2725
plymouth reliant,33838.41277,30,4,84,2385
toyota starlet,30000,39.1,4,58,1755
plymouth champ,24040.39328,39,4,64,1875
honda civic 1300,26717.10084,35.1,4,60,1760
subaru,13900.61538,32.3,4,67,2065
datsun 210 mpg,17268.17018,37,4,65,1975
toyota tercel,50475.68786,37.7,4,62,2050
mazda glc 4,49150.57563,34.1,4,68,1985
plymouth horizon 4,30000,34.7,4,63,2215
ford escort 4w,20000,34.4,4,65,2045
ford escort 2h,20000,29.9,4,65,2380
volkswagen jetta,30000,33,4,74,2190
renault 18i,30000,34.5,4,?,2320
honda prelude,20000,33.7,4,75,2210
toyota corolla,30000,32.4,4,75,2350
datsun 200sx,30000,32.9,4,100,2615
mazda 626,40000,31.6,4,74,2635
peugeot 505s turbo diesel,20000,28.1,4,80,3230
volvo diesel,40000,30.7,6,76,3160
toyota cressida,30000,25.4,6,116,2900
datsun 810 maxima,32646.39951,24.2,6,120,2930
buick century,25571.46894,22.4,6,110,3415
oldsmobile cutlass ls,30000,26.6,8,105,3725
ford granada gl,30000,20.2,6,88,3060
chrysler lebaron salon,23723.77532,17.6,6,85,3465
chevrolet cavalier,27234.66428,28,4,88,2605
chevrolet cavalier wagon,42666.91377,27,4,88,2640
chevrolet cavalier 2-door,40000,34,4,88,2395
pontiac j2000 se hatchback,27074.39484,31,4,85,2575
dodge aries se,20000,29,4,84,2525
pontiac phoenix,33111.13808,27,4,90,2735
ford fairmont futura,51186.91521,24,4,92,2865
amc concord dl,37179.28797,23,4,?,3035
volkswagen rabbit l,33472.79144,36,4,74,1980
mazda glc custom l,44607.86606,37,4,68,2025
mazda glc custom,34686.42339,31,4,68,1970
plymouth horizon miser,48111.1021,38,4,63,2125
mercury lynx l,30000,36,4,70,2125
nissan stanza xe,34612.00874,36,4,88,2160
honda accord,30000,36,4,75,2205
toyota corolla,30000,34,4,70,2245
honda civic,30000,38,4,67,1965
honda civic (auto),30000,32,4,67,1965
datsun 310 gx,30000,38,4,67,1995
buick century limited,25289.83381,25,6,110,2945
oldsmobile cutlass ciera (diesel),9944.306349,38,6,85,3015
chrysler lebaron medallion,34986.21836,26,4,92,2585
ford granada l,22973.01943,22,6,112,2835
toyota celica gt,20000,32,4,96,2665
dodge charger 2.2,17421.6269,36,4,84,2370
chevrolet camaro,12550,27,4,90,2950
ford mustang gl,13432.5,27,4,86,2790
vw pickup,37000,44,4,52,2130
dodge rampage,47800,32,4,84,2295
ford ranger,46000,28,4,79,2625
chevy s-10,9000,31,4,82,2720
