Brand,Year, Price ,Kms_Driven,Fuel_Type,Transmission,kms_Driven,fuel_tank_capacity
corolla altis,2008.0, ? 22.78 ,89000.0,Petrol,Automatic,,
etios cross,2015.0, ? 7.27 ,40534.0,Petrol,Manual,,
etios cross,2015.0, ? 7.70 ,40588.0,Petrol,Manual,,
corolla altis,2010.0, ? 18.54 ,50000.0,Petrol,Manual,,
corolla altis,2013.0, ? 18.61 ,40001.0,Petrol,Manual,,
corolla altis,2013.0, ? 18.61 ,56001.0,Petrol,Manual,,
corolla altis,2013.0, ? 14.68 ,72000.0,Petrol,Manual,,
corolla altis,2013.0, ? 18.61 ,45000.0,Petrol,Manual,,
corolla altis,2011.0, ? 13.74 ,88000.0,Petrol,Manual,,
corolla altis,2016.0, ? 20.91 ,12000.0,Petrol,Manual,,
corolla altis,2012.0, ? 13.74 ,56000.0,Petrol,Manual,,
corolla altis,2012.0, ? 18.61 ,72000.0,Petrol,Manual,,
corolla altis,2009.0, ? 18.61 ,62000.0,Petrol,Manual,,
corolla altis,2017.0, ? 18.64 ,8700.0,Petrol,Manual,,
etios g,2014.0, ? 6.80 ,39485.0,Petrol,Manual,,
etios g,2014.0, ? 6.76 ,40000.0,Petrol,Manual,,
etios g,2015.0, ? 6.80 ,36000.0,Petrol,Manual,,
etios liva,2014.0, ? 6.95 ,45000.0,Diesel,Manual,,
etios liva,2014.0, ? 6.76 ,71000.0,Diesel,Manual,,
innova,2017.0, ? 23.15 ,11000.0,Petrol,Automatic,,
fortuner,2010.0, ? 20.45 ,59000.0,Diesel,Manual,,
fortuner,2010.0, ? 20.45 ,50024.0,Diesel,Manual,,
corolla altis,2011.0, ? 12.48 ,45000.0,Diesel,Manual,,
corolla altis,2016.0, ? 14.89 ,23000.0,Diesel,Manual,,
etios liva,2011.0, ? 5.71 ,43000.0,Petrol,Manual,,
etios liva,2013.0, ? 6.05 ,47000.0,Petrol,Manual,,
etios cross,2014.0, ? 8.93 ,83000.0,Diesel,Manual,,
corolla,2004.0, ? 12.35 ,135154.0,Petrol,Automatic,,
etios gd,2015.0, ? 7.85 ,40000.0,Diesel,Manual,,
innova,2015.0, ? 13.46 ,38000.0,Diesel,Manual,,
innova,2005.0, ? 13.46 ,197176.0,Diesel,Manual,,
innova,2014.0, ? 16.09 ,58242.0,Diesel,Manual,,
camry,2006.0, ? 23.73 ,142000.0,Petrol,Automatic,,
land cruiser,2010.0, ? 92.60 ,78000.0,Diesel,Manual,,
i20,2010.0, ? 6.79 ,58000.0,Diesel,Manual,,
i20,2014.0, ? 7.60 ,77632.0,Diesel,Manual,,
i20,2012.0, ? 6.79 ,52132.0,Diesel,Manual,,
grand i10,2015.0, ? 5.70 ,28200.0,Petrol,Manual,,
grand i10,2015.0, ? 5.70 ,24678.0,Petrol,Manual,,
grand i10,2015.0, ? 5.70 ,4492.0,Petrol,Manual,,
grand i10,2016.0, ? 5.70 ,3493.0,Petrol,Manual,,
grand i10,2017.0, ? 5.70 ,20114.0,Petrol,Manual,,
i10,2011.0, ? 4.60 ,53460.0,Petrol,Manual,,
i10,2011.0, ? 4.60 ,22517.0,Petrol,Manual,,
i10,2011.0, ? 4.43 ,57000.0,Petrol,Manual,,
i10,2012.0, ? 4.60 ,35775.0,Petrol,Manual,,
i10,2013.0, ? 4.60 ,30000.0,Petrol,Manual,,
eon,2015.0, ? 4.43 ,28282.0,Petrol,Manual,,
eon,2016.0, ? 4.43 ,12500.0,Petrol,Manual,,
eon,2016.0, ? 4.43 ,15000.0,Petrol,Manual,,
eon,2016.0, ? 4.43 ,11849.0,Petrol,Manual,,
eon,2017.0, ? 4.43 ,38488.0,Petrol,Manual,,
eon,2012.0, ? 4.43 ,23709.0,Petrol,Manual,,
xcent,2017.0, ? 7.13 ,12479.0,Petrol,Manual,,
xcent,2015.0, ? 7.13 ,35866.0,Petrol,Manual,,
xcent,2014.0, ? 7.13 ,34000.0,Petrol,Manual,,
grand i10,2015.0, ? 5.70 ,34797.0,Petrol,Automatic,,
i20,2017.0, ? 8.10 ,3435.0,Petrol,Manual,,
i20,2011.0, ? 6.79 ,31604.0,Petrol,Manual,,
i20,2016.0, ? 7.60 ,7000.0,Petrol,Manual,,
i20,2016.0, ? 7.60 ,17000.0,Petrol,Manual,,
i20,2012.0, ? 6.79 ,35000.0,Petrol,Manual,,
grand i10,2015.0, ? 5.70 ,21125.0,Diesel,Manual,,
grand i10,2013.0, ? 5.70 ,53000.0,Diesel,Manual,,
elantra,2015.0, ? 14.79 ,43535.0,Diesel,Manual,,
creta,2016.0, ? 13.60 ,22671.0,Petrol,Manual,,
verna,2012.0, ? 9.40 ,36100.0,Petrol,Manual,,
verna,2012.0, ? 9.40 ,36000.0,Petrol,Manual,,
verna,2014.0, ? 9.40 ,45078.0,Petrol,Manual,,
verna,2017.0, ? 9.40 ,15001.0,Petrol,Manual,,
verna,2017.0, ? 9.40 ,15141.0,Petrol,Manual,,
verna,2013.0, ? 9.40 ,60241.0,Petrol,Manual,,
verna,2015.0, ? 9.40 ,36000.0,Petrol,Manual,,
i20,2013.0, ? 6.79 ,32000.0,Petrol,Automatic,,
verna,2015.0, ? 9.40 ,61381.0,Diesel,Manual,,
verna,2012.0, ? 9.40 ,60000.0,Diesel,Manual,,
verna,2012.0, ? 9.40 ,32322.0,Diesel,Manual,,
verna,2012.0, ? 9.40 ,71000.0,Diesel,Manual,,
verna,2013.0, ? 9.40 ,45000.0,Diesel,Manual,,
verna,2013.0, ? 9.40 ,49000.0,Diesel,Manual,,
verna,2013.0, ? 9.40 ,36198.0,Petrol,Automatic,,
elantra,2015.0, ? 14.79 ,12900.0,Petrol,Automatic,,
creta,2015.0, ? 13.60 ,68000.0,Diesel,Manual,,
creta,2016.0, ? 13.60 ,35934.0,Diesel,Manual,,
city,2013.0, ? 9.90 ,56701.0,Petrol,Manual,,
city,2013.0, ? 9.90 ,54242.0,Petrol,Manual,,
city,2016.0, ? 13.60 ,49562.0,Petrol,Manual,,
city,2016.0, ? 13.60 ,29223.0,Petrol,Manual,,
city,2016.0, ? 11.80 ,9010.0,Petrol,Manual,,
city,2016.0, ? 13.60 ,10980.0,Petrol,Manual,,
city,2015.0, ? 13.60 ,40324.0,Petrol,Manual,,
city,2015.0, ? 13.60 ,25000.0,Petrol,Manual,,
city,2015.0, ? 10.00 ,18828.0,Petrol,Manual,,
city,2015.0, ? 10.00 ,27600.0,Petrol,Manual,,
city,2015.0, ? 13.60 ,24800.0,Petrol,Manual,,
city,2015.0, ? 13.60 ,21780.0,Petrol,Manual,,
city,2015.0, ? 13.60 ,34000.0,Petrol,Manual,,
city,2011.0, ? 10.00 ,69341.0,Petrol,Manual,,
city,2009.0, ? 10.00 ,69562.0,Petrol,Manual,,
city,2009.0, ? 11.00 ,87934.0,Petrol,Manual,,
city,2014.0, ? 13.60 ,40126.0,Petrol,Manual,,
city,2006.0, ? 7.60 ,50456.0,Petrol,Manual,,
city,2010.0, ? 9.90 ,38000.0,Petrol,Manual,,
brio,2015.0, ? 6.82 ,31427.0,Petrol,Automatic,,
city,2014.0, ? 9.90 ,48000.0,Diesel,Manual,,
city,2014.0, ? 14.00 ,63000.0,Diesel,Manual,,
city,2016.0, ? 9.40 ,19434.0,Diesel,Manual,,
city,2016.0, ? 11.60 ,33988.0,Diesel,Manual,,
city,2015.0, ? 13.09 ,60076.0,Diesel,Manual,,
city,2017.0, ? 12.50 ,9000.0,Diesel,Manual,,
brio,2012.0, ? 5.35 ,53675.0,Petrol,Manual,,
brio,2016.0, ? 5.97 ,5600.0,Petrol,Manual,,
brio,2016.0, ? 5.90 ,5464.0,Petrol,Manual,,
brio,2017.0, ? 5.80 ,19000.0,Petrol,Manual,,
brio,2014.0, ? 6.80 ,16500.0,Petrol,Manual,,
brio,2015.0, ? 5.90 ,14465.0,Petrol,Manual,,
brio,2015.0, ? 6.10 ,31427.0,Petrol,Manual,,
brio,2015.0, ? 5.90 ,60000.0,Petrol,Manual,,
brio,2013.0, ? 5.90 ,9800.0,Petrol,Manual,,
amaze,2014.0, ? 7.00 ,36054.0,Petrol,Manual,,
amaze,2014.0, ? 7.00 ,35000.0,Petrol,Manual,,
amaze,2014.0, ? 6.40 ,19000.0,Petrol,Manual,,
amaze,2014.0, ? 6.80 ,33019.0,Petrol,Manual,,
amaze,2015.0, ? 5.80 ,40023.0,Petrol,Manual,,
amaze,2015.0, ? 7.00 ,40026.0,Petrol,Manual,,
jazz,2016.0, ? 7.70 ,16002.0,Petrol,Manual,,
jazz,2016.0, ? 8.40 ,4000.0,Petrol,Manual,,
jazz,2016.0, ? 7.90 ,28569.0,Petrol,Manual,,
jazz,2016.0, ? 8.40 ,12000.0,Petrol,Manual,,
jazz,2017.0, ? 8.70 ,21200.0,Petrol,Manual,,
jazz,2010.0, ? 7.50 ,61203.0,Petrol,Manual,,
city,2016.0, ? 13.60 ,30753.0,Petrol,Automatic,,
jazz,2016.0, ? 8.50 ,15059.0,Petrol,Automatic,,
amaze,2015.0, ? 7.50 ,44000.0,Petrol,Automatic,,
Maruti 800 AC,2007.0,,,Petrol,Manual,70000.0,
Maruti 800 AC,2007.0,,,Petrol,Manual,70000.0,
Maruti 800 AC,2007.0,,,Petrol,Manual,100000.0,
Maruti 800 AC,2007.0,,,Petrol,Manual,60000.0,
Maruti 800 AC,2007.0,,,Petrol,Manual,120000.0,
Maruti 800 AC,2007.0,,,Petrol,Manual,70000.0,
Maruti 800 AC,2002.0,,,Petrol,Manual,100000.0,
Maruti 800 AC,2002.0,,,Petrol,Manual,100000.0,
Maruti 800 AC,2002.0,,,Petrol,Manual,70000.0,
Maruti 800 AC,2002.0,,,Petrol,Manual,40000.0,
Maruti 800 AC,2000.0,,,Petrol,Manual,40000.0,
Maruti 800 AC,2012.0,,,Petrol,Manual,120000.0,
Maruti 800 AC,2009.0,,,Petrol,Manual,50000.0,
Maruti 800 AC,2009.0,,,Petrol,Manual,250000.0,
Maruti 800 AC,2013.0,,,Petrol,Manual,80000.0,
Maruti 800 AC,2004.0,,,Petrol,Manual,69111.0,
Maruti 800 AC,2014.0,,,Petrol,Manual,35000.0,
Maruti 800 AC,2014.0,,,Petrol,Manual,75000.0,
Maruti 800 AC,2008.0,,,Petrol,Manual,70000.0,
Maruti 800 AC,2008.0,,,Petrol,Manual,50000.0,
Maruti 800 AC,2006.0,,,Petrol,Manual,54000.0,
Maruti 800 AC,2006.0,,,Petrol,Manual,70000.0,
Maruti 800 AC,1999.0,,,Petrol,Manual,100000.0,
Maruti Wagon R LXI Minor,2007.0,,,Petrol,Manual,50000.0,
Maruti Wagon R LXI Minor,2007.0,,,Petrol,Manual,50000.0,
Maruti Wagon R LXI Minor,2007.0,,,Petrol,Manual,80000.0,
Maruti Wagon R LXI Minor,2007.0,,,Petrol,Manual,49000.0,
Maruti Wagon R LXI Minor,2007.0,,,Petrol,Manual,120000.0,
Maruti Wagon R LXI Minor,2007.0,,,Petrol,Manual,80000.0,
Maruti Wagon R LXI Minor,2007.0,,,Petrol,Manual,80000.0,
Maruti Wagon R LXI Minor,2007.0,,,Petrol,Manual,60000.0,
Maruti Wagon R LXI Minor,2007.0,,,Petrol,Manual,49000.0,
Maruti Wagon R LXI Minor,2010.0,,,Petrol,Manual,60000.0,
Maruti Wagon R LXI Minor,2010.0,,,Petrol,Manual,80000.0,
Maruti Wagon R LXI Minor,2010.0,,,Petrol,Manual,100000.0,
Maruti Wagon R LXI Minor,2009.0,,,Petrol,Manual,53000.0,
Maruti Wagon R LXI Minor,2009.0,,,Petrol,Manual,70000.0,
Maruti Wagon R LXI Minor,2009.0,,,Petrol,Manual,76000.0,
Maruti Wagon R LXI Minor,2009.0,,,Petrol,Manual,70000.0,
Maruti Wagon R LXI Minor,2009.0,,,Petrol,Manual,30000.0,
Maruti Wagon R LXI Minor,2008.0,,,Petrol,Manual,30000.0,
Maruti Wagon R LXI Minor,2008.0,,,Petrol,Manual,70000.0,
Maruti Wagon R LXI Minor,2008.0,,,Petrol,Manual,50000.0,
Maruti Wagon R LXI Minor,2008.0,,,Petrol,Manual,100000.0,
Maruti Wagon R LXI Minor,2008.0,,,Petrol,Manual,90000.0,
Maruti Wagon R LXI Minor,2008.0,,,Petrol,Manual,90000.0,
Maruti Wagon R LXI Minor,2008.0,,,Petrol,Manual,110000.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,100000.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,100000.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,86000.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,120000.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,90000.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,80000.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,130000.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,109052.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,235000.0,
Hyundai Verna 1.6 SX,2012.0,,,Diesel,Manual,35000.0,
Hyundai Verna 1.6 SX,2013.0,,,Diesel,Manual,65000.0,
Hyundai Verna 1.6 SX,2013.0,,,Diesel,Manual,100000.0,
Hyundai Verna 1.6 SX,2013.0,,,Diesel,Manual,65000.0,
Hyundai Verna 1.6 SX,2014.0,,,Diesel,Manual,70000.0,
Hyundai Verna 1.6 SX,2014.0,,,Diesel,Manual,78000.0,
Datsun RediGO T Option,2017.0,,,Petrol,Manual,46000.0,
Datsun RediGO T Option,2017.0,,,Petrol,Manual,46000.0,
Datsun RediGO T Option,2017.0,,,Petrol,Manual,50000.0,
Datsun RediGO T Option,2017.0,,,Petrol,Manual,46000.0,
Datsun RediGO T Option,2017.0,,,Petrol,Manual,40000.0,
Datsun RediGO T Option,2017.0,,,Petrol,Manual,30000.0,
Datsun RediGO T Option,2016.0,,,Petrol,Manual,37500.0,
Honda Amaze VX i-DTEC,2014.0,,,Diesel,Manual,141000.0,
Honda Amaze VX i-DTEC,2014.0,,,Diesel,Manual,141000.0,
Honda Amaze VX i-DTEC,2014.0,,,Diesel,Manual,110000.0,
Honda Amaze VX i-DTEC,2013.0,,,Diesel,Manual,30000.0,
Honda Amaze VX i-DTEC,2013.0,,,Diesel,Manual,94000.0,
Honda Amaze VX i-DTEC,2013.0,,,Diesel,Manual,53000.0,
Honda Amaze VX i-DTEC,2016.0,,,Diesel,Manual,35000.0,
Honda Amaze VX i-DTEC,2016.0,,,Diesel,Manual,35000.0,
Honda Amaze VX i-DTEC,2018.0,,,Diesel,Manual,74800.0,
Maruti Alto LX BSIII,2007.0,,,Petrol,Manual,125000.0,
Maruti Alto LX BSIII,2007.0,,,Petrol,Manual,125000.0,
Maruti Alto LX BSIII,2007.0,,,Petrol,Manual,70000.0,
Maruti Alto LX BSIII,2007.0,,,Petrol,Manual,100000.0,
Maruti Alto LX BSIII,2008.0,,,Petrol,Manual,90000.0,
Maruti Alto LX BSIII,2008.0,,,Petrol,Manual,120000.0,
Maruti Alto LX BSIII,2008.0,,,Petrol,Manual,120000.0,
Maruti Alto LX BSIII,2008.0,,,Petrol,Manual,120000.0,
Maruti Alto LX BSIII,2008.0,,,Petrol,Manual,120000.0,
Maruti Alto LX BSIII,2008.0,,,Petrol,Manual,120000.0,
Maruti Alto LX BSIII,2006.0,,,Petrol,Manual,63230.0,
Maruti Alto LX BSIII,2006.0,,,Petrol,Manual,63230.0,
Hyundai Xcent 1.2 Kappa S,2016.0,,,Petrol,Manual,25000.0,
Hyundai Xcent 1.2 Kappa S,2016.0,,,Petrol,Manual,25000.0,
Hyundai Xcent 1.2 Kappa S,2016.0,,,Petrol,Manual,96000.0,
Hyundai Xcent 1.2 Kappa S,2015.0,,,Petrol,Manual,70000.0,
Hyundai Xcent 1.2 Kappa S,2015.0,,,Petrol,Manual,55000.0,
Tata Indigo Grand Petrol,2014.0,,,Petrol,Manual,60000.0,
Tata Indigo Grand Petrol,2014.0,,,Petrol,Manual,100000.0,
Tata Indigo Grand Petrol,2014.0,,,Petrol,Manual,60000.0,
Tata Indigo Grand Petrol,2014.0,,,Petrol,Manual,100000.0,
Tata Indigo Grand Petrol,2014.0,,,Petrol,Manual,60000.0,
Tata Indigo Grand Petrol,2014.0,,,Petrol,Manual,100000.0,
Hyundai Creta 1.6 VTVT S,2015.0,,,Petrol,Manual,25000.0,
Hyundai Creta 1.6 VTVT S,2015.0,,,Petrol,Manual,25000.0,
Hyundai Creta 1.6 VTVT S,2015.0,,,Petrol,Manual,25000.0,
Hyundai Creta 1.6 VTVT S,2017.0,,,Petrol,Manual,14700.0,
Maruti Celerio Green VXI,2017.0,,,CNG,Manual,78000.0,
Maruti Celerio Green VXI,2017.0,,,CNG,Manual,78000.0,
Maruti Celerio Green VXI,2017.0,,,CNG,Manual,78000.0,
Chevrolet Sail 1.2 Base,2015.0,,,Petrol,Manual,35000.0,
Chevrolet Sail 1.2 Base,2015.0,,,Petrol,Manual,35000.0,
Chevrolet Sail 1.2 Base,2015.0,,,Petrol,Manual,35000.0,
Chevrolet Sail 1.2 Base,2014.0,,,Petrol,Manual,25000.0,
Chevrolet Sail 1.2 Base,2014.0,,,Petrol,Manual,100000.0,
Toyota Corolla Altis 1.8 VL CVT,2018.0,,,Petrol,Automatic,25000.0,
Toyota Corolla Altis 1.8 VL CVT,2018.0,,,Petrol,Automatic,25000.0,
Maruti Ciaz VXi Plus,2015.0,,,Petrol,Manual,24000.0,
Hyundai Venue SX Opt Diesel,2019.0,,,Diesel,Manual,5000.0,
Hyundai Venue SX Opt Diesel,2020.0,,,Diesel,Manual,5000.0,
Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,,,Diesel,Manual,33000.0,
Jaguar XF 2.2 Litre Luxury,2014.0,,,Diesel,Automatic,28000.0,
Mercedes-Benz New C-Class 220 CDI AT,2013.0,,,Diesel,Automatic,59000.0,
Mercedes-Benz New C-Class 220 CDI AT,2013.0,,,Diesel,Automatic,35000.0,
Maruti Vitara Brezza ZDi Plus AMT,2018.0,,,Diesel,Automatic,4500.0,
Maruti Vitara Brezza ZDi Plus AMT,2018.0,,,Diesel,Automatic,30000.0,
Audi Q5 2.0 TDI,2011.0,,,Diesel,Automatic,175900.0,
Audi Q5 2.0 TDI,2012.0,,,Diesel,Automatic,90000.0,
Audi Q5 2.0 TDI,2015.0,,,Diesel,Automatic,35000.0,
Honda City V MT,2018.0,,,Petrol,Manual,14500.0,
Honda City V MT,2012.0,,,Petrol,Manual,10000.0,
Tata Tigor 1.2 Revotron XT,2018.0,,,Petrol,Manual,15000.0,
Tata Tigor 1.2 Revotron XT,2018.0,,,Petrol,Manual,8500.0,
Tata Tigor 1.2 Revotron XT,2018.0,,,Petrol,Manual,40000.0,
Audi A6 2.0 TDI  Design Edition,2013.0,,,Diesel,Automatic,50000.0,
Audi A6 2.0 TDI  Design Edition,2014.0,,,Diesel,Automatic,102354.0,
Audi A6 2.0 TDI  Design Edition,2014.0,,,Diesel,Automatic,102354.0,
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,,,Diesel,Automatic,33800.0,
Skoda Superb Ambition 2.0 TDI CR AT,2011.0,,,Diesel,Automatic,130400.0,
Skoda Superb Ambition 2.0 TDI CR AT,2013.0,,,Diesel,Automatic,88000.0,
Skoda Superb Ambition 2.0 TDI CR AT,2013.0,,,Diesel,Automatic,88000.0,
Toyota Corolla Altis G AT,2016.0,,,Petrol,Automatic,50000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,,,Diesel,Manual,80000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,,,Diesel,Manual,65000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2016.0,,,Diesel,Manual,75000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2014.0,,,Diesel,Manual,145000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2014.0,,,Diesel,Manual,90000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2013.0,,,Diesel,Manual,200000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2013.0,,,Diesel,Manual,186000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2013.0,,,Diesel,Manual,70000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2013.0,,,Diesel,Manual,70000.0,
Toyota Innova 2.5 G (Diesel) 7 Seater,2013.0,,,Diesel,Manual,73000.0,
Jeep Compass 1.4 Sport Plus BSIV,2019.0,,,Petrol,Manual,10000.0,
Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,,,Petrol,Automatic,119000.0,
Hyundai i10 Magna 1.1L,2014.0,,,Petrol,Manual,60000.0,
Hyundai i10 Magna 1.1L,2014.0,,,Petrol,Manual,38500.0,
BMW 3 Series 320d Sport Line,2013.0,,,Diesel,Automatic,75800.0,
Audi Q7 35 TDI Quattro Premium,2009.0,,,Diesel,Automatic,78000.0,
Hyundai Elantra CRDi S,2012.0,,,Diesel,Manual,40000.0,
Hyundai Elantra CRDi S,2013.0,,,Diesel,Manual,54000.0,
Mahindra Scorpio 1.99 S10,2014.0,,,Diesel,Manual,50000.0,
Mahindra Scorpio 1.99 S10,2014.0,,,Diesel,Manual,135000.0,
Mahindra Scorpio 1.99 S10,2016.0,,,Diesel,Manual,15000.0,
Mahindra Scorpio 1.99 S10,2016.0,,,Diesel,Manual,70000.0,
Mahindra Scorpio 1.99 S10,2015.0,,,Diesel,Manual,55000.0,
Mahindra Scorpio 1.99 S10,2017.0,,,Diesel,Manual,60000.0,
Honda City i DTEC V,2014.0,,,Diesel,Manual,74000.0,
Honda City i DTEC V,2014.0,,,Diesel,Manual,90000.0,
Maruti Wagon R VXI BS IV with ABS,2014.0,,,Petrol,Manual,64000.0,
Maruti Wagon R VXI BS IV with ABS,2015.0,,,Petrol,Manual,100000.0,
Maruti Wagon R VXI BS IV,2012.0,,,Petrol,Manual,60000.0,
Maruti Wagon R VXI BS IV,2012.0,,,Petrol,Manual,90000.0,
Maruti Wagon R VXI BS IV,2013.0,,,Petrol,Manual,80000.0,
Maruti Wagon R VXI BS IV,2013.0,,,Petrol,Manual,62000.0,
Maruti Wagon R VXI BS IV,2014.0,,,Petrol,Manual,35000.0,
Maruti Wagon R VXI BS IV,2014.0,,,Petrol,Manual,15000.0,
Maruti Wagon R VXI BS IV,2014.0,,,Petrol,Manual,30000.0,
Maruti Wagon R VXI BS IV,2014.0,,,Petrol,Manual,70000.0,
Maruti Wagon R VXI BS IV,2014.0,,,Petrol,Manual,70000.0,
Maruti Wagon R VXI BS IV,2014.0,,,Petrol,Manual,80000.0,
Maruti Wagon R VXI BS IV,2014.0,,,Petrol,Manual,38000.0,
Maruti Wagon R VXI BS IV,2016.0,,,Petrol,Manual,25000.0,
Maruti Wagon R VXI BS IV,2016.0,,,Petrol,Manual,30000.0,
Maruti Wagon R VXI BS IV,2016.0,,,Petrol,Manual,25000.0,
Maruti Wagon R VXI BS IV,2017.0,,,Petrol,Manual,48000.0,
Maruti Wagon R VXI BS IV,2017.0,,,Petrol,Manual,30000.0,
