Brand,Year, Price ,Kms_Driven,Fuel_Type,Transmission
ciaz,2014, ? 12.04 ,15000,Petrol,Automatic
ritz,2013, ? 4.89 ,64532,Petrol,Manual
wagon r,2006, ? 4.15 ,65000,Petrol,Manual
ertiga,2015, ? 7.71 ,25870,Petrol,Manual
ciaz,2017, ? 9.29 ,37000,Petrol,Automatic
fortuner,2012, ? 30.61 ,104707,Diesel,Automatic
fortuner,2015, ? 30.61 ,40000,Diesel,Automatic
innova,2017, ? 19.77 ,15000,Diesel,Automatic
fortuner,2013, ? 30.61 ,135000,Diesel,Automatic
innova,2005, ? 10.21 ,90000,Petrol,Manual
corolla altis,2009, ? 15.04 ,70000,Petrol,Automatic
etios cross,2015, ? 7.27 ,40534,Petrol,Manual
corolla altis,2010, ? 18.54 ,50000,Petrol,Manual
etios g,2014, ? 6.80 ,39485,Petrol,Manual
fortuner,2014, ? 35.96 ,41000,Diesel,Automatic
corolla altis,2013, ? 18.61 ,40001,Petrol,Manual
etios cross,2015, ? 7.70 ,40588,Petrol,Manual
fortuner,2014, ? 35.96 ,78000,Diesel,Automatic
fortuner,2015, ? 35.96 ,47000,Diesel,Automatic
fortuner,2017, ? 36.23 ,6000,Diesel,Automatic
etios liva,2014, ? 6.95 ,45000,Diesel,Manual
innova,2017, ? 23.15 ,11000,Petrol,Automatic
fortuner,2010, ? 20.45 ,59000,Diesel,Manual
corolla altis,2011, ? 13.74 ,88000,Petrol,Manual
corolla altis,2016, ? 20.91 ,12000,Petrol,Manual
etios liva,2014, ? 6.76 ,71000,Diesel,Manual
corolla altis,2011, ? 12.48 ,45000,Diesel,Manual
corolla altis,2013, ? 18.61 ,56001,Petrol,Manual
etios liva,2011, ? 5.71 ,43000,Petrol,Manual
etios cross,2014, ? 8.93 ,83000,Diesel,Manual
etios g,2015, ? 6.80 ,36000,Petrol,Manual
corolla altis,2013, ? 14.68 ,72000,Petrol,Manual
corolla,2004, ? 12.35 ,135154,Petrol,Automatic
corolla altis,2010, ? 22.83 ,80000,Petrol,Automatic
fortuner,2012, ? 30.61 ,89000,Diesel,Automatic
corolla altis,2016, ? 14.89 ,23000,Diesel,Manual
etios gd,2015, ? 7.85 ,40000,Diesel,Manual
innova,2017, ? 25.39 ,15000,Diesel,Automatic
innova,2015, ? 13.46 ,38000,Diesel,Manual
innova,2005, ? 13.46 ,197176,Diesel,Manual
camry,2006, ? 23.73 ,142000,Petrol,Automatic
land cruiser,2010, ? 92.60 ,78000,Diesel,Manual
corolla altis,2012, ? 13.74 ,56000,Petrol,Manual
etios liva,2013, ? 6.05 ,47000,Petrol,Manual
etios g,2014, ? 6.76 ,40000,Petrol,Manual
corolla altis,2009, ? 18.61 ,62000,Petrol,Manual
innova,2014, ? 16.09 ,58242,Diesel,Manual
innova,2005, ? 13.70 ,75000,Petrol,Manual
fortuner,2015, ? 30.61 ,40000,Diesel,Automatic
corolla altis,2008, ? 22.78 ,89000,Petrol,Automatic
corolla altis,2012, ? 18.61 ,72000,Petrol,Manual
innova,2016, ? 25.39 ,29000,Diesel,Automatic
corolla altis,2017, ? 18.64 ,8700,Petrol,Manual
corolla altis,2013, ? 18.61 ,45000,Petrol,Manual
fortuner,2010, ? 20.45 ,50024,Diesel,Manual
i20,2010, ? 6.79 ,58000,Diesel,Manual
grand i10,2015, ? 5.70 ,28200,Petrol,Manual
i10,2011, ? 4.60 ,53460,Petrol,Manual
eon,2015, ? 4.43 ,28282,Petrol,Manual
grand i10,2016, ? 5.70 ,3493,Petrol,Manual
xcent,2017, ? 7.13 ,12479,Petrol,Manual
grand i10,2015, ? 5.70 ,34797,Petrol,Automatic
i20,2017, ? 8.10 ,3435,Petrol,Manual
grand i10,2015, ? 5.70 ,21125,Diesel,Manual
i10,2012, ? 4.60 ,35775,Petrol,Manual
elantra,2015, ? 14.79 ,43535,Diesel,Manual
creta,2016, ? 13.60 ,22671,Petrol,Manual
i20,2011, ? 6.79 ,31604,Petrol,Manual
grand i10,2017, ? 5.70 ,20114,Petrol,Manual
verna,2012, ? 9.40 ,36100,Petrol,Manual
eon,2016, ? 4.43 ,12500,Petrol,Manual
eon,2016, ? 4.43 ,15000,Petrol,Manual
verna,2014, ? 9.40 ,45078,Petrol,Manual
verna,2012, ? 9.40 ,36000,Petrol,Manual
eon,2017, ? 4.43 ,38488,Petrol,Manual
i20,2013, ? 6.79 ,32000,Petrol,Automatic
i20,2014, ? 7.60 ,77632,Diesel,Manual
verna,2015, ? 9.40 ,61381,Diesel,Manual
verna,2013, ? 9.40 ,36198,Petrol,Automatic
i10,2011, ? 4.60 ,22517,Petrol,Manual
grand i10,2015, ? 5.70 ,24678,Petrol,Manual
i10,2011, ? 4.43 ,57000,Petrol,Manual
verna,2012, ? 9.40 ,60000,Diesel,Manual
i20,2012, ? 6.79 ,52132,Diesel,Manual
verna,2013, ? 9.40 ,45000,Diesel,Manual
verna,2017, ? 9.40 ,15001,Petrol,Manual
elantra,2015, ? 14.79 ,12900,Petrol,Automatic
grand i10,2013, ? 5.70 ,53000,Diesel,Manual
grand i10,2015, ? 5.70 ,4492,Petrol,Manual
verna,2017, ? 9.40 ,15141,Petrol,Manual
eon,2016, ? 4.43 ,11849,Petrol,Manual
creta,2015, ? 13.60 ,68000,Diesel,Manual
verna,2013, ? 9.40 ,60241,Petrol,Manual
eon,2012, ? 4.43 ,23709,Petrol,Manual
verna,2012, ? 9.40 ,32322,Diesel,Manual
xcent,2015, ? 7.13 ,35866,Petrol,Manual
xcent,2014, ? 7.13 ,34000,Petrol,Manual
i20,2016, ? 7.60 ,7000,Petrol,Manual
verna,2013, ? 9.40 ,49000,Diesel,Manual
verna,2012, ? 9.40 ,71000,Diesel,Manual
i20,2012, ? 6.79 ,35000,Petrol,Manual
verna,2015, ? 9.40 ,36000,Petrol,Manual
i10,2013, ? 4.60 ,30000,Petrol,Manual
i20,2016, ? 7.60 ,17000,Petrol,Manual
creta,2016, ? 13.60 ,35934,Diesel,Manual
city,2013, ? 9.90 ,56701,Petrol,Manual
brio,2015, ? 6.82 ,31427,Petrol,Automatic
city,2014, ? 9.90 ,48000,Diesel,Manual
city,2013, ? 9.90 ,54242,Petrol,Manual
brio,2012, ? 5.35 ,53675,Petrol,Manual
city,2016, ? 13.60 ,49562,Petrol,Manual
city,2015, ? 13.60 ,40324,Petrol,Manual
city,2015, ? 13.60 ,25000,Petrol,Manual
amaze,2014, ? 7.00 ,36054,Petrol,Manual
city,2016, ? 13.60 ,29223,Petrol,Manual
brio,2016, ? 5.97 ,5600,Petrol,Manual
amaze,2015, ? 5.80 ,40023,Petrol,Manual
jazz,2016, ? 7.70 ,16002,Petrol,Manual
amaze,2015, ? 7.00 ,40026,Petrol,Manual
jazz,2017, ? 8.70 ,21200,Petrol,Manual
amaze,2014, ? 7.00 ,35000,Petrol,Manual
city,2016, ? 9.40 ,19434,Diesel,Manual
brio,2017, ? 5.80 ,19000,Petrol,Manual
city,2015, ? 10.00 ,18828,Petrol,Manual
city,2011, ? 10.00 ,69341,Petrol,Manual
city,2009, ? 10.00 ,69562,Petrol,Manual
city,2015, ? 10.00 ,27600,Petrol,Manual
jazz,2010, ? 7.50 ,61203,Petrol,Manual
brio,2014, ? 6.80 ,16500,Petrol,Manual
city,2016, ? 13.60 ,30753,Petrol,Automatic
city,2015, ? 13.60 ,24800,Petrol,Manual
city,2015, ? 13.60 ,21780,Petrol,Manual
jazz,2016, ? 8.40 ,4000,Petrol,Manual
city,2014, ? 13.60 ,40126,Petrol,Manual
brio,2015, ? 5.90 ,14465,Petrol,Manual
city,2006, ? 7.60 ,50456,Petrol,Manual
city,2014, ? 14.00 ,63000,Diesel,Manual
city,2016, ? 11.80 ,9010,Petrol,Manual
brio,2013, ? 5.90 ,9800,Petrol,Manual
jazz,2016, ? 8.50 ,15059,Petrol,Automatic
jazz,2016, ? 7.90 ,28569,Petrol,Manual
amaze,2015, ? 7.50 ,44000,Petrol,Automatic
city,2015, ? 13.60 ,34000,Petrol,Manual
city,2016, ? 13.60 ,10980,Petrol,Manual
amaze,2014, ? 6.40 ,19000,Petrol,Manual
brio,2015, ? 6.10 ,31427,Petrol,Manual
jazz,2016, ? 8.40 ,12000,Petrol,Manual
city,2010, ? 9.90 ,38000,Petrol,Manual
amaze,2014, ? 6.80 ,33019,Petrol,Manual
city,2015, ? 13.09 ,60076,Diesel,Manual
city,2016, ? 11.60 ,33988,Diesel,Manual
brio,2015, ? 5.90 ,60000,Petrol,Manual
city,2009, ? 11.00 ,87934,Petrol,Manual
city,2017, ? 12.50 ,9000,Diesel,Manual
brio,2016, ? 5.90 ,5464,Petrol,Manual
